Tests \ Parameters,Pattern,Scope,P,Q,L,R
1,AbsenceP,AfterL,5,0,7,0
2,QPrecedesP,AfterLuntilR,6,8,5,5
3,QRespondsP,BeforeR,2,5,0,7
4,QPrecedesP,Global,3,3,0,0
5,QRespondsP,AfterLuntilR,2,6,7,5
6,ExistenceP,AfterLuntilR,2,0,7,6
7,ExistenceP,BetweenLandR,4,0,5,7
8,QStrictlyPrecedesP,Global,1,1,0,0
9,QRespondsP,BetweenLandR,2,7,8,3
10,QStrictlyPrecedesP,AfterLuntilR,3,4,4,6
11,QStrictlyPrecedesP,AfterL,7,3,6,0
,,,,,,
13,ExistenceP,BetweenLandR,1,0,1,2
14,QPrecedesP,BeforeR,6,6,0,6
15,QStrictlyPrecedesP,BetweenLandR,4,7,3,6
16,QPrecedesP,BetweenLandR,1,1,5,6
17,QRespondsP,AfterLuntilR,5,3,2,7
18,ExistenceP,BeforeR,7,0,0,3
19,QStrictlyPrecedesP,BetweenLandR,7,2,5,4
20,QRespondsP,AfterLuntilR,1,7,4,5
,,,,,,
22,QRespondsP,AfterL,7,1,8,0
23,QRespondsP,AfterLuntilR,5,1,7,5
24,QPrecedesP,AfterLuntilR,5,4,1,4
25,QStrictlyPrecedesP,AfterLuntilR,7,8,7,4
26,QStrictlyPrecedesP,BeforeR,8,6,0,3
,,,,,,
28,QPrecedesP,AfterLuntilR,1,3,8,3
29,AbsenceP,BeforeR,6,0,0,5
30,QPrecedesP,AfterLuntilR,3,7,4,1
31,AbsenceP,BetweenLandR,8,0,4,8
32,QRespondsP,BetweenLandR,3,8,3,5
33,ExistenceP,BetweenLandR,3,0,4,4
34,QPrecedesP,AfterL,8,2,5,0
,,,,,,
36,QPrecedesP,BetweenLandR,1,7,7,8
,,,,,,
38,QStrictlyPrecedesP,AfterL,2,3,1,0
39,QPrecedesP,BetweenLandR,3,6,1,8
40,QRespondsP,BetweenLandR,4,4,6,3
41,QStrictlyPrecedesP,Global,6,7,0,0
42,QStrictlyPrecedesP,AfterLuntilR,5,4,8,6
43,QStrictlyPrecedesP,AfterLuntilR,2,1,2,2
,,,,,,
45,QStrictlyPrecedesP,BetweenLandR,4,4,7,5
46,ExistenceP,AfterL,3,0,6,0
47,QPrecedesP,BetweenLandR,8,6,2,2
48,QRespondsP,AfterL,5,6,2,0
49,QRespondsP,BetweenLandR,8,7,1,7
50,QPrecedesP,BetweenLandR,2,5,3,6
51,QPrecedesP,BetweenLandR,4,2,6,1
52,AbsenceP,AfterLuntilR,8,0,2,4
,,,,,,
54,QRespondsP,AfterLuntilR,5,7,2,1
,,,,,,
56,AbsenceP,BetweenLandR,5,0,4,3
57,QStrictlyPrecedesP,BetweenLandR,6,1,4,7
58,QPrecedesP,AfterLuntilR,6,6,6,7
59,QStrictlyPrecedesP,AfterLuntilR,2,5,5,1
60,AbsenceP,AfterLuntilR,1,0,3,7
,,,,,,
62,AbsenceP,AfterLuntilR,3,0,7,1
63,QRespondsP,AfterLuntilR,3,5,2,5
,,,,,,
65,QRespondsP,Global,7,6,0,0
66,QStrictlyPrecedesP,AfterL,6,5,4,0
67,ExistenceP,BeforeR,3,0,0,1
68,ExistenceP,Global,4,0,0,0
69,QPrecedesP,BetweenLandR,7,8,4,7
70,QStrictlyPrecedesP,AfterL,1,5,1,0
,,,,,,
72,QRespondsP,BetweenLandR,4,1,5,3
73,QStrictlyPrecedesP,AfterLuntilR,7,7,3,2
74,QStrictlyPrecedesP,AfterLuntilR,6,4,2,8
75,QStrictlyPrecedesP,AfterLuntilR,1,8,2,8
76,QPrecedesP,AfterLuntilR,8,6,8,5
77,QStrictlyPrecedesP,BetweenLandR,2,2,7,3
78,ExistenceP,BetweenLandR,8,0,3,1
79,QStrictlyPrecedesP,BetweenLandR,4,6,4,1
80,QPrecedesP,AfterLuntilR,5,2,3,3
81,QStrictlyPrecedesP,Global,8,8,0,0
82,AbsenceP,AfterLuntilR,2,0,5,6
83,QPrecedesP,AfterLuntilR,4,2,2,8
,,,,,,
85,QPrecedesP,BetweenLandR,3,2,5,8
86,QStrictlyPrecedesP,BeforeR,4,7,0,4
87,QPrecedesP,BeforeR,5,1,0,4
88,ExistenceP,AfterLuntilR,5,0,2,7
89,QStrictlyPrecedesP,AfterL,4,6,3,0
90,QStrictlyPrecedesP,BetweenLandR,1,4,4,2
91,QStrictlyPrecedesP,AfterLuntilR,6,3,1,5
92,AbsenceP,BeforeR,4,0,0,8
93,QRespondsP,AfterL,8,7,6,0
94,QStrictlyPrecedesP,BetweenLandR,8,1,7,7
95,QStrictlyPrecedesP,BeforeR,7,2,0,5
96,QRespondsP,AfterLuntilR,6,4,5,3
97,QRespondsP,BetweenLandR,4,8,8,7
98,AbsenceP,AfterLuntilR,6,0,6,4
99,ExistenceP,BetweenLandR,1,0,6,8
100,QPrecedesP,AfterLuntilR,6,1,3,1
101,ExistenceP,BetweenLandR,6,0,8,8
102,QPrecedesP,BeforeR,1,2,0,7
103,QStrictlyPrecedesP,BetweenLandR,7,5,7,6
104,QStrictlyPrecedesP,BetweenLandR,4,8,1,3
105,QStrictlyPrecedesP,AfterLuntilR,5,6,5,4
106,QStrictlyPrecedesP,AfterLuntilR,3,3,7,3
107,QPrecedesP,BetweenLandR,3,2,8,2
108,QRespondsP,AfterLuntilR,5,5,8,3
109,QRespondsP,AfterLuntilR,8,5,1,1
110,QRespondsP,Global,7,4,0,0
111,AbsenceP,AfterLuntilR,6,0,7,2
112,QStrictlyPrecedesP,AfterLuntilR,2,1,1,8
113,AbsenceP,BetweenLandR,7,0,1,1
114,QPrecedesP,BetweenLandR,8,4,3,8
115,AbsenceP,AfterLuntilR,1,0,8,1
116,QPrecedesP,BeforeR,3,4,0,7
117,AbsenceP,AfterLuntilR,7,0,2,6
118,QRespondsP,BetweenLandR,3,1,2,3
119,QPrecedesP,AfterLuntilR,4,1,6,5
,,,,,,
121,QRespondsP,BeforeR,8,8,0,1
122,QRespondsP,Global,1,6,0,0
123,QStrictlyPrecedesP,AfterLuntilR,5,3,5,1
124,AbsenceP,Global,2,0,0,0
125,QRespondsP,Global,5,2,0,0
126,QRespondsP,AfterL,4,8,6,0
127,QRespondsP,AfterL,2,4,8,0
128,ExistenceP,BetweenLandR,5,0,1,5
129,QRespondsP,Global,6,5,0,0
130,QStrictlyPrecedesP,BeforeR,5,4,0,1
131,QStrictlyPrecedesP,AfterLuntilR,4,7,5,3
132,QStrictlyPrecedesP,AfterLuntilR,3,2,4,7
